PAC(64, 32)
L=32
Rate-profile=dega
design SNR=2
Conv Poly=[1, 0, 1, 1, 0, 1, 1]
CRC=0 bits, Systematic=False

SNR: 3.0; 3.5; 4.0; 4.5; 5.0; 
BER: 0.004392176952748313; 0.0014937106918238995; 0.00038959199093313183; 0.00015489904163339005; 3.593920439921396e-05; 
FER: 0.012295081967213115; 0.004276729559748427; 0.0011333585190782018; 0.00044272370568422515; 0.00010417900813413354; 
